id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,latitude,longitude,address,city,state,zip_code,DBA Name,AKA Name,License #,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Latitude,Longitude,income_household_median
LPwAwxEjetjdNh7Uadro3g,smoque-bbq-chicago,Smoque BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/wBfhSd0v-aCmJmXgf26f-g/o.jpg,False,https://www.yelp.com/biz/smoque-bbq-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,4622,"[{'alias': 'bbq', 'title': 'Barbeque'}]",4.5,[],17735457427,(773) 545-7427,15192.448929230166,41.95021,-87.72795,3800 n pulaski rd,chicago,il,60641,SMOQUE BBQ,SMOQUE BBQ,1694866.0,Risk 1 (High),3800 n pulaski rd,chicago,il,60641,2022-07-27,Canvass,Pass,41.95007328750793,-87.72765652046023,63545
1uFRbr6B-BiNGtT90sdk0w,community-tavern-chicago-3,Community Tavern,https://s3-media2.fl.yelpcdn.com/bphoto/JPSKsVTTyRd0H5KUhFzXEg/o.jpg,False,https://www.yelp.com/biz/community-tavern-chicago-3?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,595,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"['pickup', 'restaurant_reservation', 'delivery']",17732836080,(773) 283-6080,13410.071762230118,41.9540099,-87.74883,4038 n milwaukee ave,chicago,il,60641,COMMUNITY,COMMUNITY,2278096.0,Risk 1 (High),4038 n milwaukee ave,chicago,il,60641,2018-03-26,Canvass,Pass,41.95407051177266,-87.74863162872255,63545
q65G-7JIZWy0bTeOzwMzTw,thai-aree-house-chicago,Thai Aree House,https://s3-media2.fl.yelpcdn.com/bphoto/I2UENUEGuVkHUdcNXCPjYA/o.jpg,False,https://www.yelp.com/biz/thai-aree-house-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,229,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,['delivery'],17737256751,(773) 725-6751,14749.201967098968,41.9459,-87.73551,3592 n milwaukee ave,chicago,il,60641,THAI AREE HOUSE,THAI AREE HOUSE,37881.0,Risk 1 (High),3592 n milwaukee ave,chicago,il,60641,2017-01-23,Canvass,No Entry,41.94602897693361,-87.73546639404336,63545
nXbaIvOAi14TcQhKE2k_5A,el-taco-feliz-taqueria-chicago,El Taco Feliz Taqueria,https://s3-media1.fl.yelpcdn.com/bphoto/Qd8LzSKa1mzTRSj1lUoX2A/o.jpg,False,https://www.yelp.com/biz/el-taco-feliz-taqueria-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,214,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,['delivery'],17732834377,(773) 283-4377,12615.836222361051,41.94566,-87.76335,5439 w addison st,chicago,il,60641,"EL TACO FELIZ, INC.",EL TACO FELIZ,2433076.0,Risk 1 (High),5439 w addison st,chicago,il,60641,2018-01-31,Canvass,Pass,41.94580991762778,-87.76344146216435,63545
VScrypD_qyg_Jzbz59BXmg,backlot-coffee-chicago,Backlot Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/DN9cugWi96uj2j1WdMdavg/o.jpg,False,https://www.yelp.com/biz/backlot-coffee-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,120,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.5,[],17736573797,(773) 657-3797,14766.873080955913,41.9533408903263,-87.7319341152907,3982 n avondale ave,chicago,il,60641,BC IRVING PARK LLC,BACKLOT  COFFEE,2541989.0,Risk 2 (Medium),3982 n avondale ave,chicago,il,60641,2018-10-30,Canvass,Fail,41.95333998629583,-87.73202749084835,63545
UHUalNP0sTqDeCdXrBCAZg,sol-de-mexico-chicago,Sol de Mexico,https://s3-media1.fl.yelpcdn.com/bphoto/uOYvzDwEiKSAkO0a2J9-Bg/o.jpg,False,https://www.yelp.com/biz/sol-de-mexico-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,292,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,['delivery'],17732824119,(773) 282-4119,14313.60197916244,41.93588,-87.74717,3018 n cicero ave,chicago,il,60641,SOL DE MEXICO TIERRA AZTECA,SOL DE MEXICO TIERRA AZTECA,1800682.0,Risk 3 (Low),3018 n cicero ave,chicago,il,60641,2013-11-22,Canvass,Out of Business,41.93575126195393,-87.74691044444539,63545
VVL_iqvKG8YGFjwyCo9quw,jeffs-red-hots-chicago,Jeff's Red Hots,https://s3-media1.fl.yelpcdn.com/bphoto/CFJwHwEX2q-E9ZlHNK4W7A/o.jpg,False,https://www.yelp.com/biz/jeffs-red-hots-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,182,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"['pickup', 'delivery']",17737771513,(773) 777-1513,13607.42942890968,41.951713,-87.746894,3901 n cicero ave,chicago,il,60641,JEFF'S RED HOTS,JEFF'S RED HOTS,12690.0,Risk 1 (High),3901 n cicero ave,chicago,il,60641,2014-10-16,Complaint,Pass,41.95161875662041,-87.7471207715993,63545
pAHABLrE2cVSFPQvk_xu7Q,bias-café-marianao-chicago-2,Bia's Café Marianao,https://s3-media1.fl.yelpcdn.com/bphoto/e4lnqnCt9t34dIAZaDp9NQ/o.jpg,False,https://www.yelp.com/biz/bias-caf%C3%A9-marianao-chicago-2?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,147,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'cuban', 'title': 'Cuban'}]",4.5,"['delivery', 'pickup']",17739930178,(773) 993-0178,14688.423269598508,41.946,-87.73617,4323 w addison st,chicago,il,60641,BIA'S CAFE,BIA'S CAFE MARIANAO,2528407.0,Risk 1 (High),4323 w addison st,chicago,il,60641,2020-05-05,Canvass,Fail,41.946153347247,-87.736155542106,63545
-rPVLHP6BpZk4Zqz5yzRiA,junebug-café-chicago,Junebug Café,https://s3-media3.fl.yelpcdn.com/bphoto/xuFaltcHN4nYKhPwN5w9DA/o.jpg,False,https://www.yelp.com/biz/junebug-caf%C3%A9-chicago?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,82,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'desserts', 'title': 'Desserts'}]",5.0,"['delivery', 'pickup']",17738530911,(773) 853-0911,13232.161562306315,41.953435,-87.75171667,4944 w irving park rd,chicago,il,60641,JUNEBUG CAFE,JUNEBUG CAFE,2616846.0,Risk 1 (High),4944 w irving park rd,chicago,il,60641,2019-06-11,License,Fail,41.95348385428049,-87.75147928719359,63545
eL-5wzU05crAOpXmS9YWmw,hands-on-irving-park-rd-chicago-4,Hands On - Irving Park Rd.,https://s3-media2.fl.yelpcdn.com/bphoto/uu4BlI9Gr4zR8bNnhSCH-A/o.jpg,False,https://www.yelp.com/biz/hands-on-irving-park-rd-chicago-4?adjust_creative=OHfzsHy-SX-d7vKz4usIuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OHfzsHy-SX-d7vKz4usIuw,307,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}]",4.0,"['delivery', 'pickup']",17732058335,(773) 205-8335,12995.131788303972,41.9535022139636,-87.7543795108795,5056 w irving park rd,chicago,il,60641,E WOK CAFE,E WOK CAFE,2124405.0,Risk 1 (High),5056 w irving park rd,chicago,il,60641,2014-06-03,Canvass,Pass,41.95344087020122,-87.75455318593346,63545
